






"[1, 622, 451]"
"[1, 622, 451]"
"[1, 616, 443]"
"[1, 609, 440]"
"[1, 606, 441]"
"[1, 605, 442]"
"[1, 599, 442]"
"[1, 594, 440]"
"[1, 589, 437]"
"[1, 584, 435]"
"[1, 577, 431]"
"[1, 574, 429]"
"[1, 569, 427]"
"[1, 567, 427]"
"[1, 564, 425]"
"[1, 558, 420]"
"[1, 550, 416]"
"[1, 547, 414]"
"[1, 543, 412]"
"[1, 538, 408]"
"[1, 533, 406]"
"[1, 531, 405]"
"[1, 526, 403]"
"[1, 519, 400]"
"[1, 514, 397]"
"[1, 513, 396]"
"[1, 510, 395]"
"[1, 504, 391]"
"[1, 503, 389]"
"[1, 499, 386]"
"[1, 497, 385]"
"[1, 490, 380]"
"[1, 487, 378]"
"[1, 484, 376]"
"[1, 483, 376]"
"[1, 480, 375]"
"[1, 476, 373]"
"[1, 475, 372]"
"[1, 472, 371]"
"[1, 468, 367]"
"[1, 464, 366]"
"[1, 460, 365]"
"[1, 459, 365]"
"[1, 456, 363]"
"[1, 452, 360]"
"[1, 449, 358]"
"[1, 447, 358]"
"[1, 447, 358]"
"[1, 445, 356]"
"[1, 442, 355]"
"[1, 441, 355]"
"[1, 438, 352]"
"[1, 435, 350]"
"[1, 434, 350]"
"[1, 431, 348]"
"[1, 429, 348]"
"[1, 429, 348]"
"[1, 425, 345]"
"[1, 422, 343]"
"[1, 420, 342]"
"[1, 419, 342]"
"[1, 415, 339]"
"[1, 412, 337]"
"[1, 411, 336]"
"[1, 409, 335]"
"[1, 409, 335]"
"[1, 407, 334]"
"[1, 404, 334]"
"[1, 403, 333]"
"[1, 402, 332]"
"[1, 400, 330]"
"[1, 397, 329]"
"[1, 396, 328]"
"[1, 394, 326]"
"[1, 392, 325]"
"[1, 391, 325]"
"[1, 389, 324]"
"[1, 387, 323]"
"[1, 387, 323]"
"[1, 385, 321]"
"[1, 383, 321]"
"[1, 380, 319]"
"[1, 380, 319]"
"[1, 378, 318]"
"[1, 376, 317]"
"[1, 374, 316]"
"[1, 373, 315]"
"[1, 372, 315]"
"[1, 370, 314]"
"[1, 369, 314]"
"[1, 368, 313]"
